college_id,ranking_authority,ranking_year,overall_rank,overall_score,overall_total_score,parameter_id,parameter_score,rank_band
31153,2,2023,9,81.3,100,1,72.7,
31153,2,2022,10,81.9,100,1,76.1,
31153,2,2021,10,83,100,1,80.3,
31153,2,2020,11,78.8,100,1,66.5,
31153,2,2019,12,79.3,100,1,71.1,
31153,2,2023,9,81.3,100,2,33.6,
31153,2,2022,10,81.9,100,2,33.7,
31153,2,2021,10,83,100,2,35.6,
31153,2,2020,11,78.8,100,2,35,
31153,2,2019,12,79.3,100,2,35.4,
31153,2,2023,9,81.3,100,3,85.4,
31153,2,2022,10,81.9,100,3,83.5,
31153,2,2021,10,83,100,3,83.7,
31153,2,2020,11,78.8,100,3,80.9,
31153,2,2019,12,79.3,100,3,81.4,
31153,2,2023,9,81.3,100,4,87.5,
31153,2,2022,10,81.9,100,4,87.3,
31153,2,2021,10,83,100,4,87.5,
31153,2,2020,11,78.8,100,4,84.7,
31153,2,2019,12,79.3,100,4,85.8,
31153,2,2023,9,81.3,100,5,80.9,
31153,2,2022,10,81.9,100,5,81.7,
31153,2,2021,10,83,100,5,82.6,
31153,2,2020,11,78.8,100,5,80.4,
31153,2,2019,12,79.3,100,5,78.5,
31165,2,2023,78,51.7,100,1,64.4,
31165,2,2022,93,47.6,100,1,72.5,
31165,2,2021,73,52.3,100,1,65.3,
31165,2,2020,67,53.1,100,1,61.7,
31165,2,2019,87,47.8,100,1,57.3,
31165,2,2023,78,51.7,100,2,35.9,
31165,2,2022,93,47.6,100,2,36.3,
31165,2,2021,73,52.3,100,2,38.2,
31165,2,2020,67,53.1,100,2,37.2,
31165,2,2019,87,47.8,100,2,38.2,
31165,2,2023,78,51.7,100,3,61.3,
31165,2,2022,93,47.6,100,3,56.4,
31165,2,2021,73,52.3,100,3,56,
31165,2,2020,67,53.1,100,3,57.7,
31165,2,2019,87,47.8,100,3,54.7,
31165,2,2023,78,51.7,100,4,44.3,
31165,2,2022,93,47.6,100,4,42.4,
31165,2,2021,73,52.3,100,4,47.3,
31165,2,2020,67,53.1,100,4,49.7,
31165,2,2019,87,47.8,100,4,45.1,
31165,2,2023,78,51.7,100,5,53.1,
31165,2,2022,93,47.6,100,5,41.8,
31165,2,2021,73,52.3,100,5,52.3,
31165,2,2020,67,53.1,100,5,53.2,
31165,2,2019,87,47.8,100,5,46.1,
31258,2,2023,,43.6–46.7,100,1,59.4,101–125
31258,2,2022,,36.3–38.5,100,1,59,151–175
31258,2,2021,,33.6–35.9,100,1,64.6,176–200
31258,2,2020,,40.4–45.1,100,1,56.6,101–125
31258,2,2023,,43.6–46.7,100,2,34.1,101–125
31258,2,2022,,36.3–38.5,100,2,33.6,151–175
31258,2,2021,,33.6–35.9,100,2,35.3,176–200
31258,2,2020,,40.4–45.1,100,2,34.8,101–125
31258,2,2023,,43.6–46.7,100,3,67.2,101–125
31258,2,2022,,36.3–38.5,100,3,65.5,151–175
31258,2,2021,,33.6–35.9,100,3,67.3,176–200
31258,2,2020,,40.4–45.1,100,3,67.7,101–125
31258,2,2023,,43.6–46.7,100,4,40.3,101–125
31258,2,2022,,36.3–38.5,100,4,29.2,151–175
31258,2,2021,,33.6–35.9,100,4,27.5,176–200
31258,2,2020,,40.4–45.1,100,4,35.6,101–125
31258,2,2023,,43.6–46.7,100,5,36.7,101–125
31258,2,2022,,36.3–38.5,100,5,32.6,151–175
31258,2,2021,,33.6–35.9,100,5,24.7,176–200
31258,2,2020,,40.4–45.1,100,5,40.4,101–125
32658,2,2023,,40.0–43.5,100,1,80.5,126–150
32658,2,2022,,36.3–38.5,100,1,69.6,151–175
32658,2,2021,,36.0–38.3,100,1,53.6,151–175
32658,2,2020,,34.4–36.8,100,1,56.9,151–175
32658,2,2019,,35.5–38.1,100,1,86.2,151–175
32658,2,2023,,40.0–43.5,100,2,35.4,126–150
32658,2,2022,,36.3–38.5,100,2,35.8,151–175
32658,2,2021,,36.0–38.3,100,2,37.6,151–175
32658,2,2020,,34.4–36.8,100,2,37.3,151–175
32658,2,2019,,35.5–38.1,100,2,36.4,151–175
32658,2,2023,,40.0–43.5,100,3,91.7,126–150
32658,2,2022,,36.3–38.5,100,3,90.8,151–175
32658,2,2021,,36.0–38.3,100,3,88.8,151–175
32658,2,2020,,34.4–36.8,100,3,87,151–175
32658,2,2019,,35.5–38.1,100,3,89.4,151–175
32658,2,2023,,40.0–43.5,100,4,28.7,126–150
32658,2,2022,,36.3–38.5,100,4,29.2,151–175
32658,2,2021,,36.0–38.3,100,4,32,151–175
32658,2,2020,,34.4–36.8,100,4,21.2,151–175
32658,2,2019,,35.5–38.1,100,4,20.5,151–175
32658,2,2023,,40.0–43.5,100,5,25.9,126–150
32658,2,2022,,36.3–38.5,100,5,24.1,151–175
32658,2,2021,,36.0–38.3,100,5,28.5,151–175
