college_id,ranking_authority,ranking_year,overall_rank,overall_score,overall_total_score,parameter_id,parameter_score,rank_band
32663,2,2019,,40.0–42.7,100,2,33.5,176–200
32663,2,2023,,38.0–39.7,100,3,35.6,251–300
32663,2,2022,,32.2–35.7,100,3,34.6,301–400
32663,2,2021,,31.3–35.1,100,3,33.8,301–400
32663,2,2020,,34.7–37.0,100,3,31.9,251–300
32663,2,2019,,40.0–42.7,100,3,29.7,176–200
32663,2,2023,,38.0–39.7,100,4,17.2,251–300
32663,2,2022,,32.2–35.7,100,4,14.8,301–400
32663,2,2021,,31.3–35.1,100,4,16.8,301–400
32663,2,2020,,34.7–37.0,100,4,20.7,251–300
32663,2,2019,,40.0–42.7,100,4,21.3,176–200
32663,2,2023,,38.0–39.7,100,5,24.3,251–300
32663,2,2022,,32.2–35.7,100,5,16.9,301–400
32663,2,2021,,31.3–35.1,100,5,15.9,301–400
32663,2,2020,,34.7–37.0,100,5,19,251–300
32663,2,2019,,40.0–42.7,100,5,24.6,176–200
32664,2,2023,72,60.1,100,1,86.5,
32664,2,2022,88,55.5,100,1,88.4,
32664,2,2021,70,58.9,100,1,89.5,
32664,2,2020,59,61.9,100,1,89.9,
32664,2,2019,54,61.6,100,1,85.5,
32664,2,2023,72,60.1,100,2,34.8,
32664,2,2022,88,55.5,100,2,35.6,
32664,2,2021,70,58.9,100,2,34.3,
32664,2,2020,59,61.9,100,2,35.2,
32664,2,2019,54,61.6,100,2,33.9,
32664,2,2023,72,60.1,100,3,69.5,
32664,2,2022,88,55.5,100,3,68.5,
32664,2,2021,70,58.9,100,3,64.7,
32664,2,2020,59,61.9,100,3,64.7,
32664,2,2019,54,61.6,100,3,68.1,
32664,2,2023,72,60.1,100,4,55.2,
32664,2,2022,88,55.5,100,4,47.2,
32664,2,2021,70,58.9,100,4,48.7,
32664,2,2020,59,61.9,100,4,52.3,
32664,2,2019,54,61.6,100,4,49.6,
32664,2,2023,72,60.1,100,5,44.4,
32664,2,2022,88,55.5,100,5,37.2,
32664,2,2021,70,58.9,100,5,46.2,
32664,2,2020,59,61.9,100,5,51.4,
32664,2,2019,54,61.6,100,5,56,
32665,2,2023,14,80.6,100,1,87.6,
32665,2,2022,13,80.6,100,1,87.7,
32665,2,2021,14,80.5,100,1,88.1,
32665,2,2020,11,82.6,100,1,89,
32665,2,2019,14,80.9,100,1,86.1,
32665,2,2023,14,80.6,100,2,34.4,
32665,2,2022,13,80.6,100,2,34.2,
32665,2,2021,14,80.5,100,2,33.7,
32665,2,2020,11,82.6,100,2,34.3,
32665,2,2019,14,80.9,100,2,34.5,
32665,2,2023,14,80.6,100,3,89.4,
32665,2,2022,13,80.6,100,3,88.1,
32665,2,2021,14,80.5,100,3,88,
32665,2,2020,11,82.6,100,3,87.5,
32665,2,2019,14,80.9,100,3,87,
32665,2,2023,14,80.6,100,4,81.8,
32665,2,2022,13,80.6,100,4,83.3,
32665,2,2021,14,80.5,100,4,82.2,
32665,2,2020,11,82.6,100,4,85.2,
32665,2,2019,14,80.9,100,4,83.7,
32665,2,2023,14,80.6,100,5,75.6,
32665,2,2022,13,80.6,100,5,74.2,
32665,2,2021,14,80.5,100,5,74.9,
32665,2,2020,11,82.6,100,5,77.7,
32665,2,2019,14,80.9,100,5,76.2,
32666,2,2023,,42.2–44.9,100,1,88.4,176–200
32666,2,2022,,45.4–48.4,100,1,85.3,126–150
32666,2,2021,,37.9–41.9,100,1,74.4,201–250
32666,2,2020,,43.0–45.5,100,1,84.3,151–175
32666,2,2019,,45.0–47.9,100,1,89.6,126–150
32666,2,2023,,42.2–44.9,100,2,35.8,176–200
32666,2,2022,,45.4–48.4,100,2,35.1,126–150
32666,2,2021,,37.9–41.9,100,2,38.7,201–250
32666,2,2020,,43.0–45.5,100,2,40.5,151–175
